id,web_name,team,value,minutes,goals_scored,assists,clean_sheets,bonus,form,threat,influence,creativity,xG,xA,selected_by_percent,points_per_game,total_points,FDR,next_gameweek_points
1,Fábio Vieira,1,54,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,4,0.0
2,G.Jesus,1,66,600,3,2,2,6,0.0,255.0,154.4,119.5,3.05,0.52,1.2,2.5,42,1,2.5
3,Gabriel,1,63,1898,3,2,7,8,2.8,272.0,496.4,170.8,2.56,1.03,28.1,4.3,94,4,4.3
4,Havertz,1,78,1839,9,3,7,14,5.5,701.0,467.2,257.0,9.39,1.63,7.6,4.6,96,1,4.6
5,Hein,1,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
6,J.Timber,1,56,1755,1,1,7,5,2.2,187.0,276.2,221.9,0.75,1.01,4.4,3.5,73,1,3.5
7,Jorginho,1,47,456,0,0,1,0,0.0,3.0,35.8,64.7,0.04,0.47,0.2,1.3,13,3,1.3
8,Kiwior,1,48,323,0,0,1,0,0.0,0.0,49.2,13.7,0.00,0.03,0.2,1.6,13,1,1.6
9,Martinelli,1,67,1452,6,3,7,6,4.0,570.0,389.4,356.9,4.04,2.96,3.0,4.0,89,1,4.0
12,Nwaneri,1,45,281,3,0,0,1,1.8,80.0,136.8,82.3,0.56,0.43,0.9,2.1,30,3,2.1
13,Ødegaard,1,82,1281,2,3,6,6,4.0,277.0,278.6,497.7,3.12,3.33,4.9,3.8,60,4,3.8
15,Raya,1,55,2160,0,0,8,8,3.8,0.0,502.6,0.0,0.00,0.01,25.8,3.9,93,1,3.9
16,Rice,1,62,1739,1,5,6,8,4.2,198.0,418.6,620.2,1.47,4.03,2.7,3.1,69,3,3.1
17,Saka,1,102,1268,5,11,6,16,0.0,604.0,516.2,630.0,4.17,5.60,8.9,6.7,107,4,6.7
18,Saliba,1,62,1919,2,0,8,9,3.2,89.0,425.4,79.8,1.88,0.80,21.8,4.0,87,1,4.0
20,Thomas,1,49,1851,3,3,5,6,3.8,136.0,436.6,255.9,1.53,1.59,0.8,3.3,76,1,3.3
21,Tierney,1,43,16,0,0,0,0,0.5,2.0,2.2,11.0,0.00,0.23,0.0,1.0,2,4,1.0
22,Tomiyasu,1,48,6,0,0,0,0,0.0,9.0,0.4,0.3,0.18,0.00,0.0,1.0,1,3,1.0
23,Trossard,1,68,1451,4,5,6,10,6.0,402.0,361.6,363.9,3.23,2.46,2.6,3.5,85,2,3.5
24,White,1,61,694,0,1,3,0,0.0,29.0,128.4,55.3,0.13,0.32,2.1,3.0,27,1,3.0
25,Zinchenko,1,48,238,0,0,2,0,0.2,23.0,22.2,26.5,0.06,0.08,0.9,2.1,17,1,2.1
73,Neto,1,41,180,0,0,0,0,0.0,0.0,77.8,0.0,0.00,0.00,0.8,3.5,7,4,3.5
186,Sterling,1,67,213,0,1,0,0,0.8,79.0,35.8,47.4,0.88,0.15,0.8,1.3,12,2,1.3
578,Calafiori,1,58,750,2,1,1,1,2.0,142.0,233.0,85.2,0.67,0.56,1.3,2.6,34,3,2.6
597,Lewis-Skelly,1,45,549,1,0,2,0,2.0,29.0,103.6,67.1,0.04,0.21,0.3,1.7,17,1,1.7
633,Merino,1,60,759,2,1,2,2,1.0,225.0,203.6,133.3,2.24,0.70,0.1,2.4,39,1,2.4
638,Oulad M'hand,1,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,1,0.0
639,Setford,1,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,3,0.0
657,Kacurri,1,40,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.1,0.0,0,4,0.0
659,Kabia,1,45,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0,2,0.0
